timestamp,gaze_x,gaze_y,blink_rate,head_yaw,head_pitch,head_roll,label
1.0,-0.1312,-0.2909,0.0,-11.13,-0.96,-11.08,0
2.0,-0.0956,0.1443,29.6,0.65,-18.47,5.27,0
3.0,-0.2313,0.3407,19.8,-8.15,-16.68,-5.9,0
4.1,-0.123,0.029,14.7,-1.18,-15.68,1.4,0
5.1,-0.0927,0.2451,11.8,20.9,-14.96,11.94,0
6.1,-0.3246,-0.1789,10.4,31.32,-0.81,10.87,0
7.1,0.0194,-0.1654,8.5,3.63,-16.02,1.15,0
8.1,-0.2717,0.3027,7.4,-5.32,-13.49,-8.34,0
9.1,-0.0724,-0.059,6.6,9.13,-10.29,-5.49,0
10.2,-0.1619,0.1332,11.8,-1.98,-13.49,-6.07,0
11.2,-0.1482,-0.1262,10.7,-10.25,-11.08,-4.0,0
12.2,-0.2386,0.0772,9.8,-22.26,-8.49,-13.86,0
13.2,-0.2087,0.0483,9.1,-21.71,-8.43,-24.17,0
14.2,-0.1174,-0.106,8.4,1.0,-11.46,-11.15,0
15.2,-0.1693,-0.1919,7.9,-13.53,-10.27,-9.85,0
16.3,-0.3282,0.0077,7.4,-13.86,-9.72,-9.54,0
17.3,-0.2707,-0.0079,6.9,-21.34,-5.12,-9.21,0
18.3,-0.2461,0.0172,6.6,-20.88,-5.26,-9.77,0
19.3,-0.2601,-0.2227,9.3,-23.16,-3.73,-10.22,0
20.3,-0.3024,-0.1902,20.7,-26.51,-3.1,-12.66,0
21.3,-0.1822,0.0214,19.7,-25.26,-2.63,-17.18,0
22.3,-0.3261,0.0295,18.8,-22.96,-2.48,-18.43,0
23.3,-0.2659,0.0347,18.0,-22.98,-2.97,-18.32,0
24.4,-0.3189,0.0743,17.2,-24.61,-3.06,-17.69,0
25.4,-0.2257,-0.0235,16.5,-23.49,-2.68,-17.52,0
26.4,-0.3362,0.1027,15.9,-23.91,-3.06,-16.94,0
27.4,-0.2014,-0.0406,15.3,-23.66,-3.41,-17.72,0
28.4,-0.2511,-0.0843,14.8,-24.29,-3.53,-18.61,0
29.4,-0.3249,0.0748,14.3,-24.14,-3.18,-19.76,0
30.5,-0.2666,0.0395,13.8,-22.96,-2.26,-19.36,0
31.5,-0.3946,0.0812,13.3,-25.43,-3.15,-18.83,0
32.5,-0.3283,0.133,12.9,-23.35,-2.98,-20.06,0
33.5,-0.3917,0.0746,12.5,-24.12,-2.89,-20.89,0
34.5,-0.2872,0.1131,12.2,-25.93,-3.18,-20.49,0
35.5,-0.3454,0.0545,11.8,-25.18,-3.21,-19.72,0
36.6,-0.2634,0.116,11.5,-24.26,-2.74,-19.56,0
37.6,-0.3249,0.0811,11.2,-24.31,-2.71,-19.58,0
38.6,-0.4186,0.1579,10.9,-23.8,-2.77,-19.54,0
39.7,-0.4329,0.1291,10.6,-23.05,-3.0,-19.29,0
40.7,-0.3456,0.1269,10.3,-24.64,-2.36,-19.72,0
41.7,-0.3574,0.0597,10.1,-26.54,-3.07,-20.02,0
42.7,-0.2728,0.0245,9.8,-23.7,-3.56,-18.19,0
43.7,-0.4436,0.047,9.6,-23.8,-3.55,-17.83,0
44.7,-0.425,0.039,9.4,-24.15,-3.93,-18.34,0
45.8,-0.3239,0.0936,9.2,-24.43,-4.37,-19.83,0
46.8,-0.5003,0.0921,10.3,-23.9,-3.91,-18.86,0
47.8,-0.3663,0.1969,10.0,-25.72,-4.06,-19.64,0
48.8,-0.3521,0.1018,9.8,-25.05,-4.03,-20.89,0
49.8,-0.3195,0.1121,9.6,-25.54,-3.88,-20.43,0
50.8,-0.3594,0.0924,9.4,-25.18,-3.25,-19.94,0
51.8,-0.2932,0.095,9.3,-24.19,-3.32,-20.75,0
52.8,-0.3048,0.0726,9.1,-24.46,-3.7,-20.03,0
53.8,-0.2983,0.0605,8.9,-24.09,-3.66,-19.91,0
54.9,-0.1562,-0.0654,8.7,6.22,-11.86,23.24,0
55.9,-0.2155,-0.1265,8.6,-5.07,-11.99,-3.91,0
